Institution Name,enrollment,dorm capacity,endowment,Street address or post office box,location of institution,ZIP code
Alexander Academy,61,,,55 Massachusetts Avenue,Lunenburg,01462-0000
American International College,"3,152",860,"$19,500,413",1000 State Street,Springfield,1109
Amherst College,"1,855","1,837","$2,377,537,246",Boltwood Avenue,Amherst,01002-5000
Andover Newton Theological School,11,,"$20,107,819",1912 Massachusetts Avenue,Lexington,2421
Anna Maria College,"1,461",634,"$5,152,861",50 Sunset Lane,Paxton,01612-1198
Assabet Valley Regional Technical School,50,,,215 Fitchburg St,Marlborough,1752
Assumption College,"2,428","1,859","$108,439,232",500 Salisbury St,Worcester,01609-1296
Babson College,"3,357","1,890","$421,920,139",231 Forest Street,Babson Park,02457-0310
Bancroft School of Massage Therapy,45,,,333 Shrewsbury St,Worcester,1604
Bard College at Simon's Rock,396,400,"$1,099,370",84 Alford Road,Great Barrington,01230-9702
Bay Path University,"3,444",400,"$50,579,339",588 Longmeadow Street,Longmeadow,1106
Bay State College,700,120,,122 Commonwealth Avenue,Boston,2116
Bay State School of Technology,123,,,225 Turnpike St,Canton,02021-2358
Becker College,"1,839",866,"$4,962,182",61 Sever St,Worcester,01609-2165
Benjamin Franklin Institute of Technology,630,24,"$2,343,178",41 Berkeley St,Boston,2116
Bentley University,"5,460","3,421","$289,595,000",175 Forest St,Waltham,02452-4705
Berklee College of Music,"6,963","1,409","$365,075,720",1140 Boylston St,Boston,2215
Berkshire Community College,"1,696",,,1350 West Street,Pittsfield,01201-5786
Blackstone Valley Vocational Regional School District,30,,,65 Pleasant St,Upton,1568
Blue Hills Regional Technical School,55,,,800 Randolph St,Canton,2021
Boston Architectural College,663,30,"$11,840,710",320 Newbury Street,Boston,02115-2703
Boston Baptist College,81,150,,950 Metropolitan Ave,Boston,02136-4030
Boston College,"14,720","7,721","$2,515,666,637",140 Commonwealth Avenue,Chestnut Hill,2467
Boston Graduate School of Psychoanalysis Inc,135,,,1581 Beacon Street,Brookline,2446
Boston University,"34,657","11,732","$2,179,287,000",One Silber Way,Boston,2215
Brandeis University,"5,800","2,950","$1,046,386,225",415 South St,Waltham,02454-9110
Branford Hall Career Institute-Springfield Campus,63,,,189 Brookdale Drive,Springfield,1104
Bridgewater State University,"10,990","3,294",,131 Summer Street,Bridgewater,2325
Bristol Community College,"7,214",,,777 Elsbree St,Fall River,02720-7395
Bunker Hill Community College,"12,522",,,250 New Rutherford Ave,Boston,02129-2925
Cambridge College,"2,234",,"$69,647,702",500 Rutherford Avenue,Boston,2129
Cape Cod Community College,"2,996",,,2240 Iyannough Rd,West Barnstable,02668-1599
Catherine Hinds Institute of Esthetics,162,,,300 Wildwood Avenue,Woburn,01801-6819
Charles H McCann Technical School,30,,,70 Hodges Cross Rd,North Adams,01247-3999
