Source, SourceLong, SourceLat, Destination, DestLong, DestLat, Driving Distance (m), Driving Time (s)
CLEARY UNIVERSITY,-83.8804,42.5875,MIDMICHIGAN MEDICAL CENTER-GLADWIN,-84.4939,43.9759,208627,9431.6
CLEARY UNIVERSITY,-83.8804,42.5875,MERCY HEALTH PARTNERS LAKESHORE CAMPUS,-86.3647,43.6066,282961,11592.5
CLEARY UNIVERSITY,-83.8804,42.5875,HELEN NEWBERRY JOY HOSPITAL,-85.5157,46.3532,546485,22280.2
CLEARY UNIVERSITY,-83.8804,42.5875,MUNISING MEMORIAL HOSPITAL,-86.6252,46.4253,626086,26440.4
CLEARY UNIVERSITY,-83.8804,42.5875,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,-83.941,42.6156,6433.6,457.1
CLEARY UNIVERSITY,-83.8804,42.5875,HILLSDALE COMMUNITY HEALTH CENTER,-84.633,41.9117,153835,7301.6
CLEARY UNIVERSITY,-83.8804,42.5875,DMC SURGERY HOSPITAL,-83.1201,42.5179,73969,3216.7
CLEARY UNIVERSITY,-83.8804,42.5875,LAKELAND COMMUNITY HOSPITAL WATERVLIET,-86.2499,42.1849,235732,9831.8
CLEARY UNIVERSITY,-83.8804,42.5875,MCLAREN CENTRAL MICHIGAN,-84.7614,43.5991,170093,7026.7
CLEARY UNIVERSITY,-83.8804,42.5875,SPECTRUM HEALTH LUDINGTON HOSPITAL,-86.4304,43.9581,324152,13326
CLEARY UNIVERSITY,-83.8804,42.5875,BRONSON LAKEVIEW HOSPITAL,-85.8971,42.2213,204132,8542.3
CLEARY UNIVERSITY,-83.8804,42.5875,DECKERVILLE COMMUNITY HOSPITAL,-82.7342,43.5281,199697,9954.9
CLEARY UNIVERSITY,-83.8804,42.5875,HENRY FORD HOSPITAL,-83.0847,42.3677,75865.5,3393.1
CLEARY UNIVERSITY,-83.8804,42.5875,VA MEDICAL CENTER - BATTLE CREEK,-85.2913,42.3434,152406,6901.3
CLEARY UNIVERSITY,-83.8804,42.5875,SHERIDAN COMMUNITY HOSPITAL,-85.0742,43.2159,156078,7367.8
CLEARY UNIVERSITY,-83.8804,42.5875,SAINT MARY'S STANDISH COMMUNITY HOSPITAL,-83.9692,43.9819,179169,7778.8
CLEARY UNIVERSITY,-83.8804,42.5875,MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,-84.7295,45.8906,439486,17236.8
CLEARY UNIVERSITY,-83.8804,42.5875,PROMEDICA BIXBY HOSPITAL,-84.0491,41.9137,106612,5249.4
CLEARY UNIVERSITY,-83.8804,42.5875,TAWAS ST JOSEPH HOSPITAL,-83.5097,44.2752,236923,10909.2
CLEARY UNIVERSITY,-83.8804,42.5875,SPARROW HEALTH SYSTEM-ST LAWRENCE CAMPUS,-84.57,42.7415,67532,2974.6
CLEARY UNIVERSITY,-83.8804,42.5875,MCLAREN GREATER LANSING,-84.555,42.7038,64795.9,2870.5
CLEARY UNIVERSITY,-83.8804,42.5875,NORTH OTTAWA COMMUNITY HOSPITAL,-86.2288,43.0508,225985,9531.8
CLEARY UNIVERSITY,-83.8804,42.5875,STRAITH HOSPITAL FOR SPECIAL SURGERY,-83.2614,42.4646,57389.4,2574.7
CLEARY UNIVERSITY,-83.8804,42.5875,ASCENSION CRITTENTON HOSPITAL MEDICAL CENTER,-83.1495,42.6798,86294.7,4243.5
CLEARY UNIVERSITY,-83.8804,42.5875,OAKLAND REGIONAL HOSPITAL,-83.2032,42.4575,61273.2,2713.1
CLEARY UNIVERSITY,-83.8804,42.5875,LAKELAND HOSPITAL ST JOSEPH,-86.4788,42.0883,256264,10758.2
CLEARY UNIVERSITY,-83.8804,42.5875,LAKELAND HOSPITAL NILES,-86.2605,41.8279,288885,12035.6
CLEARY UNIVERSITY,-83.8804,42.5875,COMMUNITY HEALTH CENTER OF BRANCH COUNTY,-84.9897,41.9376,167719,6976.7
CLEARY UNIVERSITY,-83.8804,42.5875,BRONSON BATTLE CREEK HOSPITAL,-85.1779,42.3311,142395,6243.9
CLEARY UNIVERSITY,-83.8804,42.5875,BORGESS-LEE MEMORIAL HOSPITAL,-86.1156,41.9831,243497,10761.4
CLEARY UNIVERSITY,-83.8804,42.5875,MEMORIAL HEALTHCARE,-84.1817,43.0061,72469.6,3980.1
CLEARY UNIVERSITY,-83.8804,42.5875,HILLS & DALES GENERAL HOSPITAL,-83.1826,43.6042,168704,9118
CLEARY UNIVERSITY,-83.8804,42.5875,ST JOSEPH MERCY HOSPITAL,-83.6543,42.2652,49650.3,2332.2
CLEARY UNIVERSITY,-83.8804,42.5875,ST JOSEPH MERCY CHELSEA,-84.0158,42.3103,61696.3,3096.3
CLEARY UNIVERSITY,-83.8804,42.5875,BEAUMONT HOSPITAL DEARBORN,-83.2146,42.2903,79939.3,3633.2
CLEARY UNIVERSITY,-83.8804,42.5875,SINAI-GRACE HOSPITAL,-83.182,42.4191,65527,2961.1
CLEARY UNIVERSITY,-83.8804,42.5875,BEAUMONT HOSPITAL GROSSE POINTE,-82.9144,42.3844,98786.7,4450.1
CLEARY UNIVERSITY,-83.8804,42.5875,HARPER UNIVERSITY HOSPITAL,-83.0564,42.3518,84082.6,3679.5
CLEARY UNIVERSITY,-83.8804,42.5875,METRO HEALTH HOSPITAL,-85.7177,42.8578,175915,7273.1
CLEARY UNIVERSITY,-83.8804,42.5875,MCLAREN - NORTHERN MICHIGAN,-84.9701,45.3728,390841,16037.8
CLEARY UNIVERSITY,-83.8804,42.5875,ASPIRUS IRON RIVER HOSPITAL & CLINICS,-88.6193,46.0999,803109,34737.2
CLEARY UNIVERSITY,-83.8804,42.5875,BELL MEMORIAL HOSPITAL,-87.6848,46.5049,717042,31477.6
CLEARY UNIVERSITY,-83.8804,42.5875,PROVIDENCE - PARK HOSPITAL,-83.5192,42.4887,33749.8,1564
CLEARY UNIVERSITY,-83.8804,42.5875,BORGESS PIPP HOSPITAL,-85.6539,42.447,199142,8492.6
CLEARY UNIVERSITY,-83.8804,42.5875,KINDRED HOSPITAL DETROIT,-83.0198,42.4422,78708.7,3618.6
CLEARY UNIVERSITY,-83.8804,42.5875,SPECTRUM HEALTH - FULLER CAMPUS,-85.638,42.9763,170411,6985.9
CLEARY UNIVERSITY,-83.8804,42.5875,PROMEDICA HERRICK HOSPITAL,-83.9378,42.0026,91258.1,4690.7
CLEARY UNIVERSITY,-83.8804,42.5875,HAYES GREEN BEACH MEMORIAL HOSPITAL,-84.832,42.5653,89665.6,3840.4
CLEARY UNIVERSITY,-83.8804,42.5875,MCKENZIE MEMORIAL HOSPITAL,-82.8321,43.4235,180195,8773.9
CLEARY UNIVERSITY,-83.8804,42.5875,MARLETTE REGIONAL HOSPITAL,-83.081,43.3327,150234,7096.4
CLEARY UNIVERSITY,-83.8804,42.5875,KALKASKA MEMORIAL HEALTH CENTER,-85.1843,44.7313,332805,13798.2
CLEARY UNIVERSITY,-83.8804,42.5875,SCHOOLCRAFT MEMORIAL HOSPITAL,-86.2762,45.9467,578527,23430.3
CLEARY UNIVERSITY,-83.8804,42.5875,SPARROW IONIA HOSPITAL,-85.068,42.9359,124985,5404.4
CLEARY UNIVERSITY,-83.8804,42.5875,PROMEDICA MONROE REGIONAL HOSPITAL,-83.3881,41.9246,106510,4610
CLEARY UNIVERSITY,-83.8804,42.5875,SPECTRUM HEALTH UNITED MEMORIAL - UNITED CAMPUS,-85.2693,43.1747,166536,7912.8
CLEARY UNIVERSITY,-83.8804,42.5875,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,-83.0049,42.5058,80090.9,3419.3
CLEARY UNIVERSITY,-83.8804,42.5875,HENRY FORD MACOMB HOSPITAL-MT CLEMENS CAMPUS,-82.8809,42.6069,102388,4434.6
CLEARY UNIVERSITY,-83.8804,42.5875,MCLAREN ORTHOPEDIC HOSPITAL,-84.535,42.7033,62397.3,2905.4
CLEARY UNIVERSITY,-83.8804,42.5875,EATON RAPIDS MEDICAL CENTER,-84.6587,42.4953,84728.8,3662.5
CLEARY UNIVERSITY,-83.8804,42.5875,MIDMICHIGAN MEDICAL CENTER-GRATIOT,-84.6633,43.3907,145906,6045.8
CLEARY UNIVERSITY,-83.8804,42.5875,MERCY HEALTH MUSKEGON SHERMAN BLVD,-86.2086,43.2058,230590,9449.5
CLEARY UNIVERSITY,-83.8804,42.5875,CARO COMMUNITY HOSPITAL,-83.4082,43.4932,142560,7633.9
CLEARY UNIVERSITY,-83.8804,42.5875,LAKE HURON MEDICAL CENTER,-82.4334,42.9559,153701,6442.8
CLEARY UNIVERSITY,-83.8804,42.5875,ST MARY MERCY HOSPITAL,-83.4082,42.3938,51524.8,2340.6
CLEARY UNIVERSITY,-83.8804,42.5875,ST JOHN HOSPITAL AND MEDICAL CENTER,-82.9143,42.42,94977.4,4097.3
CLEARY UNIVERSITY,-83.8804,42.5875,BEAUMONT HOSPITAL TRENTON,-83.2135,42.117,99840.7,4688.6
CLEARY UNIVERSITY,-83.8804,42.5875,GARDEN CITY HOSPITAL,-83.315,42.3321,67061.8,3119.2
CLEARY UNIVERSITY,-83.8804,42.5875,MUNSON HEALTHCARE CADILLAC,-85.3893,44.2454,273351,11891.3
CLEARY UNIVERSITY,-83.8804,42.5875,SPECTRUM HEALTH - BLODGETT CAMPUS,-85.6233,42.9537,168333,7066.2
CLEARY UNIVERSITY,-83.8804,42.5875,ASPIRUS IRONWOOD HOSPITAL,-90.1067,46.4807,932251,41954.3
CLEARY UNIVERSITY,-83.8804,42.5875,MUNSON HEALTHCARE CHARLEVOIX HOSPITAL,-85.2749,45.3148,403112,17311.1
CLEARY UNIVERSITY,-83.8804,42.5875,SCHOOLCRAFT MEMORIAL HOSPITAL,-86.2395,45.9583,574013,23211.8
CLEARY UNIVERSITY,-83.8804,42.5875,MIDMICHIGAN MEDICAL CENTER - ALPENA,-83.4494,45.0777,342380,16740.3
CLEARY UNIVERSITY,-83.8804,42.5875,HENRY FORD MEDICAL CENTER COTTAGE,-82.9024,42.3969,97821.8,4422
CLEARY UNIVERSITY,-83.8804,42.5875,HENRY FORD ALLEGIANCE CARELINK,-84.3856,42.2519,95050.3,4349.5
CLEARY UNIVERSITY,-83.8804,42.5875,VIBRA OF SOUTHEASTERN MICHIGAN,-83.1639,42.2563,85615.4,4095.5
CLEARY UNIVERSITY,-83.8804,42.5875,BRIGHTON HOSPITAL,-83.6958,42.5197,19734,997.6
CLEARY UNIVERSITY,-83.8804,42.5875,REHABILITATION INSTITUTE OF MICHIGAN,-83.0556,42.3497,84309.3,3618
CLEARY UNIVERSITY,-83.8804,42.5875,ROGERS CITY REHABILITATION HOSPITAL,-83.8353,45.4221,373687,18202.3
CLEARY UNIVERSITY,-83.8804,42.5875,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,-83.0816,42.4517,73809.3,3237.6
CLEARY UNIVERSITY,-83.8804,42.5875,WEST BRANCH REGIONAL MEDICAL CENTER,-84.2443,44.2638,216635,9350.9
CLEARY UNIVERSITY,-83.8804,42.5875,STURGIS HOSPITAL,-85.4076,41.7946,208753,9315
CLEARY UNIVERSITY,-83.8804,42.5875,SPECTRUM HEALTH PENNOCK HOSPITAL,-85.3028,42.6448,135733,6850.5
CLEARY UNIVERSITY,-83.8804,42.5875,MCLAREN BAY REGION,-83.8684,43.5882,130863,6098
CLEARY UNIVERSITY,-83.8804,42.5875,FOREST HEALTH MEDICAL CENTER,-83.6006,42.2376,56697.9,2754.3
CLEARY UNIVERSITY,-83.8804,42.5875,MARY FREE BED HOSPITAL & REHABILITATION CENTER,-85.6627,42.957,173891,7183.8
CLEARY UNIVERSITY,-83.8804,42.5875,ASPIRUS KEWEENAW HOSPITAL,-88.4435,47.2388,872358,39741
CLEARY UNIVERSITY,-83.8804,42.5875,DICKINSON COUNTY MEMORIAL HOSPITAL,-88.0445,45.8099,741247,31452.5
CLEARY UNIVERSITY,-83.8804,42.5875,ASPIRUS ONTONAGON HOSPITAL INC,-89.3017,46.8656,875009,39610
CLEARY UNIVERSITY,-83.8804,42.5875,OTSEGO MEMORIAL HOSPITAL,-84.6749,45.0353,335747,13100.9
CLEARY UNIVERSITY,-83.8804,42.5875,ST MARY'S OF MICHIGAN-TOWNE CTR,-83.9649,43.474,121339,5499.2
CLEARY UNIVERSITY,-83.8804,42.5875,SELECT SPECIALTY HOSPITAL,-83.2753,42.2352,88019.7,3950.4
CLEARY UNIVERSITY,-83.8804,42.5875,MCLAREN BAY SPECIAL CARE HOSPITAL,-83.9245,43.6005,133660,5956.9
CLEARY UNIVERSITY,-83.8804,42.5875,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,-83.0545,42.3534,83454.8,3605.3
CLEARY UNIVERSITY,-83.8804,42.5875,SELECT SPECIALTY HOSPITAL - GROSSE POINTE,-82.9153,42.4202,94768.4,4061.7
CLEARY UNIVERSITY,-83.8804,42.5875,VIBRA HOSPITAL OF SOUTHEASTERN MICHIGAN-DMC CAMPUS,-83.0561,42.3495,84352.6,3626.2
CLEARY UNIVERSITY,-83.8804,42.5875,VIBRA HOSPITAL OF SOUTHEASTERN MI - TAYLOR CAMPUS,-83.2771,42.2348,87855,3947.2
