,clia,name,address,latitude,longitude
0,22D2-039-995,DEPRESSION CLINIC ANXIETY AND TRAUMATIC DISORDERS,"One Bowdoin Square,  Boston  MA",42.3618356,-71.06216955
1,22D1-005-307,LABORATORY FOR MOLECULAR MEDICINE,"65 Landsdowne Street,  Cambridge  MA",42.360603,-71.10083
2,22D0-080-740,MARTHA'S VINEYARD HOSPITAL,"ONE HOSPITAL ROAD,  OAK BLUFFS  MA",41.460360,-70.579316
3,22D0-940-866,MASS GENERAL GASTROENTEROLOGY ASSOCIATES,"55 Fruit Street,  Boston  MA",42.362657,-71.069963
4,22D2-096-202,MASS GENERAL WALTHAM LABORATORY,"40 Second Avenue,  Waltham  MA",42.39707850485910,-71.26377237459510
5,22D0-079-744,MGH BACK BAY HEALTHCARE CENTER,"388 Commonwealth Avenue,  Boston  MA",42.348766726464500,-71.08969327758780
6,22D0-894-782,MGH CHARLESTOWN HEALTHCARE CENTER,"73 High Street,  Charlestown  MA",42.377151600000000,-71.0642501
7,22D0-882-080,MGH CHELSEA HEALTH CENTER,"151 Everett Avenue,  Chelsea  MA",42.396113400000000,-71.03919490000000
8,22D0-894-778,MGH CHELSEA HEALTHCARE CENTER POCT,"151 Everett Avenue,  Chelsea  MA",42.396113400000000,-71.03919490000000
9,22D0-650-226,MGH DEPT OF PATHOLOGY,"55 Fruit Street,  Boston  MA",42.362917950000000,-71.06873742261990
10,22D0-944-424,MGH EVERETT FAMILY CARE CENTER,"19 Norwood Street,  Everett  MA",42.407519050000000,-71.05659072050850
11,22D1-054-369,MGH ORTHOPAEDIC AMBULATORY SURGERY CENTER,"52 Second Avenue,  Waltham  MA",42.3955159,-71.26373691204120
12,22D2-085-707,MGH PATHOLOGY CENTER FOR INTEGRATED DIAGNOSTICS,"13th Street,  Charlestown  MA",42.3778749,-71.0619957
13,22D2-051-588,MGH REVERE BROADWAY PRIMARY CARE,"385 Broadway Ave,  Revere  MA",42.410112,-71.011989
14,22D0-918-761,MGH REVERE HEALTHCARE CENTER,"300 Ocean Avenue,  Revere  MA",42.407816,-70.9925369
15,22D0-884-279,MGH REVERE HEALTHCARE CENTER LABORATORY,"300 Ocean Avenue,  Revere  MA",42.407816,-70.9925369
16,22D0-691-569,MGH SPECIAL FUNCTION GROUP I LABS,"55 Fruit Street,  Boston  MA",42.362917950000000,-71.06873742261990
17,22D0-928-000,MGH SPECIAL FUNCTION LABS GROUP II,"MGH,  Boston  MA",42.3611919,-71.0713411
18,22D2-046-644,MGH TRANSLATIONAL AND CLINICAL RESEARCH CENTER,"255 Charles Street,  Boston  MA",42.36283658798710,-71.07040794369390
19,22D2-121-390,MGH WEST PEDIATRIC GASTROENTEROLOGY AND NUTRITION,"40 Second Ave,  Waltham  MA",42.39707850485910,-71.26377237459510
20,22D2-005-449,RHEUMATOLOGY LYME LABORATORY,"149 13th Street,  Charlestown  MA",42.377610,-71.051940
21,22D0-074-904,SPAULDING REHABILITATION HOSPITAL,"300 FIRST AVE,  CHARLESTOWN  MA",42.378585650000000,-71.04908977417260
22,22D2-007-949,MASS GENERAL AMBULATORY PRACTICE OF THE FUTURE,"101 Merrimack Street,  Boston  MA",42.774670,-71.079220
23,22D0-906-762,MASS GENERAL BEACON HILL,"165 Cambridge Street,  Boston  MA",42.36164385,-71.06533048162930
24,22D0-969-436,MASS GENERAL BULFINCH MEDICAL GROUP,"50 Staniford Street,  Boston  MA",42.3625256,-71.06457500674010
25,22D0-944-425,MASS GENERAL DIABETES CENTER,"50 Staniford Street,  Boston  MA",42.3625256,-71.06457500674010
26,22D0-909-090,MASS GENERAL DOWNTOWN,"294 Washington Street,  Boston  MA",42.30074670598940,-71.07549704435190
27,22D1-082-215,MASS GENERAL IMAGING CHELSEA,"80 Everett Avenue,  Chelsea  MA",42.401474325,-71.0415654125
28,22D2-058-955,MASS GENERAL INFECTIOUS DISEASE ASSOCIATES,"55 Fruit Street,  Boston  MA",42.362917950000000,-71.06873742261990
29,22D1-049-894,MASS GENERAL MEDICAL DERMATOLOGY,"50 STANIFORD STREET,  Boston  MA",42.3625256,-71.06457500674010
30,22D2-133-979,MASS GENERAL PRIMARY CARE ASSEMBLY ROW,"440 Foley Street,  Somerville  MA",42.3932252,-71.07901
31,22D2-002-307,MASS GENERAL PRIMARY CARE BOSTON,"175 Cambridge Street,  Boston  MA",42.3614371,-71.06598839348710
32,22D0-974-030,MASS GENERAL RENAL ASSOCIATES,"165 Cambridge St, Boston  MA",42.36164385,-71.06533048162930
33,22D2-087-185,MASS GENERAL SENIOR HEALTH,"165 Cambridge St,  Boston  MA",42.36164385,-71.06533048162930
34,22D2-022-450,MASS GENERAL SPECIALIZED HEALTHCARE SERVICES,"50 Staniford Street,  Boston  MA",42.3625256,-71.06457500674010
35,22D2-123-157,MASS GENERAL UROLOGY ASSOCIATES,"165 Cambridge Street,  Boston  MA",42.36164385,-71.06533048162930
36,22D2-045-051,MASS GENERAL WALTHAM  PRIMARY CARE ASSOCIATES,"52 Second Avenue,  Waltham  MA",42.3955159,-71.26373691204120
37,22D2-002-363,MASS GENERAL WALTHAM IMAGING,"52 Second Avenue,  Waltham  MA",42.3955159,-71.26373691204120
38,22D0-910-050,MASS GENERAL WALTHAM MEDICAL ASSOCIATES,"40 Second Avenue,  Waltham  MA",42.39707850485910,-71.26377237459510
39,22D0-725-190,MASSACHUSETTS GENERAL MEDICAL GROUP,"50 Staniford Street,  Boston  MA",42.3625256,-71.06457500674010
40,22D1-049-893,MGH DERMATOLOGIC SURGERY UNIT,"50 Staniford Street,  Boston  MA",42.3625256,-71.06457500674010
41,22D1-080-800,MGH WEIGHT CENTER,"50 Staniford Street,  Boston  MA",42.3625256,-71.06457500674010
42,22D1-091-411,MGH WOMEN'S HEALTH ASSOCIATES,"55 Fruit Street,  BOSTON  MA",42.362917950000000,-71.06873742261990
43,22D1-101-516,MASS GENERAL UROLOGY,"104 Endicott Street,  Danvers  MA",42.5484247,-70.9329696408715
44,22D2-028-430,MGH / PEDIATRIC PSYCHOPHARMACOLOGY AND ADULT ADHD UNIT,"55 Fruit Street,  Boston  MA",42.362917950000000,-71.06873742261990
45,22D2-162-497,MGH OCD AND RELATED DISORDERS PROGRAM,"185 CAMBRIDGE STREET,  BOSTON  MA",42.3620714,-71.065669371063
46,22D0-964-671,MGH VINCENT IVF UNIT,"255 Charles Street,  Boston  MA",42.36283658798710,-71.07040794369390
47,22D0-880-640,NORTH END WATERFRONT HEALTH,"332 Hanover Street,  Boston  MA",42.36466330769230,-71.05370953846150
48,22D0-074-903,SHRINERS BURNS HOSPITAL-BOSTON,"51 Blossom Street,  Boston  MA",42.36315795,-71.06645468879310
